network,module,enrichment,correlation
signum0.13_minSize5,aquamarine2,1,-0.125329986136098
signum0.13_minSize5,lightgreen,0.0639974300443525,0.0361810150868903
signum0.13_minSize5,palevioletred2,1,-0.0447118062326987
signum0.13_minSize5,darkcyan,1,-0.115986363687581
signum0.13_minSize5,orchid,1,0.114832878736147
signum0.13_minSize5,darkolivegreen,1,-0.171964674620438
signum0.13_minSize5,snow2,1,0.0683276062109231
signum0.13_minSize5,navajowhite1,1,0.0224008912287131
signum0.13_minSize5,violetred,1,0.0467525664550119
signum0.13_minSize5,magenta4,1,-0.0535941489938369
signum0.13_minSize5,mediumpurple3,1,-0.165892507493887
signum0.13_minSize5,lightpink3,1,0.0272854126676683
signum0.13_minSize5,seashell1,1,0.0301942424625301
signum0.13_minSize5,peachpuff2,1,0.197708713863547
signum0.13_minSize5,olivedrab2,1,-0.214412348433539
signum0.13_minSize5,lavenderblush2,1,0.00513742364598416
signum0.13_minSize5,honeydew,1,0.140481455356793
signum0.13_minSize5,mediumaquamarine,1,0.046313737113328
signum0.13_minSize5,lightsalmon4,1,0.318378268899662
signum0.13_minSize5,darkseagreen3,1,-0.0984958564246748
signum0.13_minSize5,hotpink1,1,-0.00252508632573816
signum0.13_minSize5,sienna1,1,0.0410041858360246
signum0.13_minSize5,thistle1,1,0.52985935961654
signum0.13_minSize5,coral,1,0.0243558901248805
signum0.13_minSize5,darkmagenta,1,-0.171157728312838
signum0.13_minSize5,deepskyblue3,1,-0.19547740538142
signum0.13_minSize5,antiquewhite2,1,0.0249454071601326
signum0.13_minSize5,coral3,1,-0.00331602627622636
signum0.13_minSize5,cyan3,1,0.00767532907903669
signum0.13_minSize5,bisque,1,0.134598184406124
signum0.13_minSize5,burlywood4,1,-0.181870768205136
signum0.13_minSize5,forestgreen,1,0.0416328610687057
signum0.13_minSize5,royalblue4,1,0.0242307497325692
signum0.13_minSize5,violetred3,1,-0.211219102169944
signum0.13_minSize5,mediumpurple4,1,-0.0815232368136447
signum0.13_minSize5,springgreen3,1,-0.0564369349503817
signum0.13_minSize5,skyblue4,1,-0.107022653865902
signum0.13_minSize5,yellow3,1,-0.0282861650717933
signum0.13_minSize5,deepskyblue2,1,0.0888584839991841
signum0.13_minSize5,red3,1,0.00842229527270404
signum0.13_minSize5,palegreen1,1,0.0598159083143112
signum0.13_minSize5,sienna4,1,0.103941276843135
signum0.13_minSize5,mediumvioletred,1,-0.149606753925614
signum0.13_minSize5,lightyellow2,1,0.00204865624988498
signum0.13_minSize5,pink4,1,-0.0345201918646108
signum0.13_minSize5,lightgoldenrod1,1,0.0297592438747802
signum0.13_minSize5,khaki,1,-0.00344029255014745
signum0.13_minSize5,goldenrod1,1,-0.104994230989679
signum0.13_minSize5,orangered1,1,-0.109864529876576
signum0.13_minSize5,darkorchid1,1,0.0330796188637825
signum0.13_minSize5,chartreuse2,1,-0.105776791746527
signum0.13_minSize5,aquamarine3,1,-0.0827869811069701
signum0.13_minSize5,darkgoldenrod2,1,-0.0458587574476225
signum0.13_minSize5,orchid1,1,0.465241844760337
signum0.13_minSize5,mediumpurple1,1,-0.0216592882410511
signum0.13_minSize5,snow4,1,-0.037359084537523
signum0.13_minSize5,lightslateblue,1,-0.0487319491814004
signum0.13_minSize5,turquoise3,1,-0.226133924161169
signum0.13_minSize5,lightblue4,1,0.0628176713029802
signum0.13_minSize5,seashell,1,-0.108376036495878
signum0.13_minSize5,peachpuff1,1,0.0713034848266566
signum0.13_minSize5,indianred3,1,0.0105119894764683
signum0.13_minSize5,sienna3,1,-0.104574784197938
signum0.13_minSize5,firebrick3,1,-0.125198188253233
signum0.13_minSize5,darkolivegreen2,1,-0.0857085505328703
signum0.13_minSize5,olivedrab1,1,0.029509509960818
signum0.13_minSize5,blueviolet,1,0.203726999791745
signum0.13_minSize5,maroon4,1,0.131615161462655
signum0.13_minSize5,blue4,1,-0.175686339039782
signum0.13_minSize5,darkseagreen1,1,-0.10866157772484
signum0.13_minSize5,deeppink,1,-0.0970838955650422
signum0.13_minSize5,lightsalmon3,1,-0.0694476794467988
signum0.13_minSize5,beige,1,-0.102224127128616
signum0.13_minSize5,lemonchiffon1,1,0.107526320157777
signum0.13_minSize5,hotpink,1,-0.00260223008211062
signum0.13_minSize5,gray16,1,0.0286844190957505
signum0.13_minSize5,plum4,1,0.0352775817557312
signum0.13_minSize5,thistle4,1,-0.014204596249425
signum0.13_minSize5,cyan2,1,0.0187927579977453
signum0.13_minSize5,tan4,1,0.215581054125601
signum0.13_minSize5,cadetblue,1,-0.112470711015944
signum0.13_minSize5,gainsboro,1,-0.0465620869626943
signum0.13_minSize5,salmon3,1,-0.16028511439473
signum0.13_minSize5,salmon1,1,-0.0158094789076084
signum0.13_minSize5,palevioletred1,1,-0.0957444935345284
signum0.13_minSize5,navajowhite,1,-0.00908564774418039
signum0.13_minSize5,magenta3,1,0.0227851084896364
signum0.13_minSize5,wheat,1,0.0108478286162285
signum0.13_minSize5,springgreen2,1,-0.0882385682477076
signum0.13_minSize5,red2,1,0.141779375746703
signum0.13_minSize5,lightpink2,1,0.0155650500179161
signum0.13_minSize5,palegreen,1,-0.144117444582693
signum0.13_minSize5,mediumturquoise,1,0.0270190874504531
signum0.13_minSize5,lavenderblush1,1,0.00146928471141197
signum0.13_minSize5,green4,1,-0.0499650034861734
signum0.13_minSize5,darkseagreen2,1,-0.116856145671443
signum0.13_minSize5,lightyellow1,1,-0.0947232642798392
signum0.13_minSize5,lightgoldenrod,1,-0.0233415379552118
signum0.13_minSize5,yellowgreen,1,0.67142499414259
signum0.13_minSize5,antiquewhite1,1,-0.0592139570217912
signum0.13_minSize5,ivory4,1,-0.166013658495201
signum0.13_minSize5,goldenrod,1,0.100532552547981
signum0.13_minSize5,darkorchid,1,0.0994992479649263
signum0.13_minSize5,chartreuse1,1,-0.2721240538492
signum0.13_minSize5,coral4,1,-0.118160698350643
